title,date_released,original_price,discount_price,review
Space Crew & Bomber Crew Deluxe Bundle,,83,19.52,"Very Positive<br>87% of the 8,137 user reviews for games in this bundle are positive."
Castle Cardians,8-Oct-21,32,28.8,Positive<br>82% of the 47 user reviews for this game are positive.
Baldur's Gate: The Complete Saga,,188,122.13,"Very Positive<br>89% of the 15,781 user reviews for games in this bundle are positive."
Blue Fire,4-Feb-21,39,23.4,Very Positive<br>82% of the 717 user reviews for this game are positive.
The Sims™ 4 My First Pet Stuff,18-Jun-20,39,29.25,Mixed<br>54% of the 11 user reviews for this game are positive.
Silicon Dreams  |  cyberpunk interrogation,20-Apr-21,29.99,23.99,Very Positive<br>98% of the 88 user reviews for this game are positive.
Might & Delight Bundle,,314,28.36,"Very Positive<br>86% of the 11,621 user reviews for games in this bundle are positive."
Road Redemption,4-Oct-17,38,13.3,"Very Positive<br>82% of the 7,612 user reviews for this game are positive.<br><br>This product has experienced one or more periods of off-topic review activity.  Based on your preferences, the reviews within these periods have been excluded from this product's Review Score."
Despotism 3k,8-Nov-18,19.5,5.85,Very Positive<br>84% of the 620 user reviews for this game are positive.
GRIP: Combat Racing,6-Nov-18,51,8.16,"Very Positive<br>87% of the 2,559 user reviews for this game are positive."
Solace Crafting,16-Jan-18,31,24.8,Very Positive<br>85% of the 294 user reviews for this game are positive.
The Outer Worlds: Peril on Gorgon,23-Oct-20,45,29.25,Very Positive<br>85% of the 107 user reviews for this game are positive.
Assassin’s Creed® Rogue,23-Mar-15,65,21.45,"Very Positive<br>83% of the 10,109 user reviews for this game are positive."
Farm Manager Bundle,,78,36.46,"Mostly Positive<br>72% of the 3,259 user reviews for games in this bundle are positive."
Not Tonight,17-Aug-18,39,19.5,"Very Positive<br>87% of the 1,216 user reviews for this game are positive."
Quakecon 2020 Bundle,,631.98,436.45,"Very Positive<br>84% of the 168,588 user reviews for games in this bundle are positive."
The Silver Case & The 25th Ward: The Silver Case Digital Limited Edition,,129,67.2,Very Positive<br>85% of the 550 user reviews for games in this bundle are positive.
Daedalic Multiplayer Bundle,,193,86.51,"Very Positive<br>90% of the 30,319 user reviews for games in this bundle are positive."
Stick RPG 2: Director's Cut,16-Jun-14,39,15.6,Very Positive<br>85% of the 544 user reviews for this game are positive.
ARIA CHRONICLE,11-Jul-20,36,25.2,"Mostly Positive<br>79% of the 1,000 user reviews for this game are positive."
Space Pilgrim Episode II: Epsilon Indi,8-Jan-16,2.7,1.51,Very Positive<br>87% of the 352 user reviews for this game are positive.
This Is the Police,2-Aug-16,30,7.5,"Very Positive<br>83% of the 7,259 user reviews for this game are positive."
The Sims™ 4 Bundle - Seasons + Parenthood + Laundry Day,,257,118.5,Very Positive<br>84% of the 147 user reviews for games in this bundle are positive.
Cladun Returns: This Is Sengoku! / Cladun X2 (2 Games),,62,12.86,Mostly Positive<br>70% of the 147 user reviews for games in this bundle are positive.
Thief Simulator VR + CMS VR,,78,49.14,Mixed<br>69% of the 788 user reviews for games in this bundle are positive.
ARIA CHRONICLE - Hero DLC Package,,67.5,42.84,"Mostly Positive<br>79% of the 1,019 user reviews for games in this bundle are positive."
Assassin’s Creed® Chronicles: India,12-Jan-16,31,9.3,Mixed<br>64% of the 646 user reviews for this game are positive.
Assassin’s Creed® Chronicles: Russia,15-Feb-16,31,9.3,Mixed<br>59% of the 743 user reviews for this game are positive.
Disgaea 5 Complete: Digital Dood Edition (Game + Art Book),,77.5,22.08,"Very Positive<br>88% of the 2,176 user reviews for games in this bundle are positive."
Crusader Kings II: Dynasty Starter Pack,,97,43.65,"Very Positive<br>90% of the 65,049 user reviews for games in this bundle are positive.<br><br>This product has experienced one or more periods of off-topic review activity.  Based on your preferences, the reviews within these periods have been excluded from this product's Review Score."
Lost Lands Collection,,120.5,84.76,Very Positive<br>94% of the 991 user reviews for games in this bundle are positive.
Chronos: Before the Ashes,1-Dec-20,60,39.6,Mixed<br>60% of the 214 user reviews for this game are positive.
Space Pilgrim Episode III: Delta Pavonis,4-Feb-16,2.7,1.51,Very Positive<br>87% of the 254 user reviews for this game are positive.
The Big Con,31-Aug-21,32,20.8,Very Positive<br>100% of the 58 user reviews for this game are positive.
My Garage,10-Aug-21,44,39.6,Very Positive<br>95% of the 247 user reviews for this game are positive.
Killing Floor Franchise Bundle,,486,156.87,"Very Positive<br>91% of the 103,831 user reviews for games in this bundle are positive.<br><br>This product has experienced one or more periods of off-topic review activity.  Based on your preferences, the reviews within these periods have been excluded from this product's Review Score."
Pay-to-Stay bundle,,83,62.82,"Very Positive<br>81% of the 3,398 user reviews for games in this bundle are positive."
Monster Energy Supercross 4 - Complete the Set,,177,79.61,Mixed<br>63% of the 287 user reviews for games in this bundle are positive.
Barro Racing,11-Sep-20,3,1.5,Mostly Positive<br>78% of the 169 user reviews for this game are positive.
Pressurized Environments Bundle,,118,75.59,"Very Positive<br>82% of the 16,205 user reviews for games in this bundle are positive."
Drive 4 Survival,15-Oct-20,39,26.13,Very Positive<br>83% of the 114 user reviews for this game are positive.
The Sims™ 4 Moschino Stuff,18-Jun-20,39,29.25, 
Succubus With Guns,8-Oct-21,19.5,15.6,Mixed<br>42% of the 26 user reviews for this game are positive.
Dealer's Life 2,16-Dec-20,24.5,20.82,"Very Positive<br>82% of the 1,358 user reviews for this game are positive."
Cooking Simulator + Cooking Simulator VR,,83,59.36,"Very Positive<br>83% of the 10,495 user reviews for games in this bundle are positive."
Crysis Warhead®,17-Sep-08,79,19.75,"Very Positive<br>84% of the 2,801 user reviews for this game are positive."
Bomber Crew,19-Oct-17,32,6.4,"Very Positive<br>88% of the 7,064 user reviews for this game are positive."
Two Worlds II HD & Season Pass,,136,51.4,"Mixed<br>59% of the 3,521 user reviews for games in this bundle are positive."
Shelter Bundle,,249,23.22,"Very Positive<br>87% of the 11,011 user reviews for games in this bundle are positive."
投资模拟器：打工人,7-Oct-21,28,25.2,Very Positive<br>83% of the 68 user reviews for this game are positive.
The Deed,23-Nov-15,2,1.5,"Very Positive<br>90% of the 1,622 user reviews for this game are positive."
Hell Road VR,9-Oct-21,39,23.4,Positive<br>83% of the 37 user reviews for this game are positive.
Fallout: A Post Nuclear Role Playing Game,1-Nov-15,23,6.9,"Very Positive<br>94% of the 8,132 user reviews for this game are positive."
Seek Girl collection,,49.13,49.13,"Mostly Positive<br>79% of the 17,130 user reviews for games in this bundle are positive."
Phantom Rose,7-Aug-19,32,25.6,Mostly Positive<br>72% of the 603 user reviews for this game are positive.
Sentimental K,4-Jun-20,68.49,51.36,Very Positive<br>88% of the 107 user reviews for this game are positive.
Fallout New Vegas: Dead Money,21-Feb-11,12,4.8,"Mixed<br>63% of the 2,510 user reviews for this game are positive."
封神榜  伏魔三太子（重制版）,12-Oct-21,34,20.4, 
HALF DEAD 3,20-Aug-21,12.5,10,Mostly Positive<br>72% of the 116 user reviews for this game are positive.
Caveman World: Mountains of Unga Boonga,26-Apr-16,2.7,1.51,Mixed<br>66% of the 350 user reviews for this game are positive.
REKKR: Sunken Land,11-Oct-21,17.5,12.42,Positive<br>100% of the 11 user reviews for this game are positive.
Assault Spy Elite Spy Edition (Game + Soundtrack),,49.5,18.81,Very Positive<br>92% of the 427 user reviews for games in this bundle are positive.
Thief Simulator VR,5-Nov-20,39,23.4,Mixed<br>68% of the 678 user reviews for this game are positive.
This Is the Police Bundle,,62,13.95,"Very Positive<br>81% of the 10,973 user reviews for games in this bundle are positive."
West Sweety,13-Dec-19,5.5,4.12,"Very Positive<br>86% of the 2,508 user reviews for this game are positive."
Disgaea 2 PC Digital Dood Edition (Game + Art Book),,50,9,"Very Positive<br>91% of the 1,053 user reviews for games in this bundle are positive."
GameGuru Unlimited,,667,134.82,"Mostly Positive<br>73% of the 1,172 user reviews for games in this bundle are positive."
Paradox Grand Strategy Collection,,408,284.62,"Very Positive<br>88% of the 387,846 user reviews for games in this bundle are positive.<br><br>This product has experienced one or more periods of off-topic review activity.  Based on your preferences, the reviews within these periods have been excluded from this product's Review Score."
Disgaea PC Digital Dood Edition (Game + Art Book),,50,6.75,"Very Positive<br>88% of the 3,275 user reviews for games in this bundle are positive."
"The Cook, Serve, Delicious Trilogy!",,91,24.37,"Very Positive<br>94% of the 6,235 user reviews for games in this bundle are positive."
Hearts of Iron III Collection,,136,57.37,"Mostly Positive<br>76% of the 4,386 user reviews for games in this bundle are positive."
Chimeras Collection,,148,131.08,Positive<br>94% of the 17 user reviews for games in this bundle are positive.
The Escapists: Complete Pack,,66,22.5,"Very Positive<br>90% of the 13,530 user reviews for games in this bundle are positive."
The Escapists,13-Feb-15,38,9.5,"Very Positive<br>90% of the 13,283 user reviews for this game are positive."
CASE: Animatronics,3-Aug-16,23,2.3,"Very Positive<br>85% of the 2,142 user reviews for this game are positive."
God's Basement,16-Oct-18,32,6.4,Mostly Positive<br>73% of the 758 user reviews for this game are positive.
GRIP: Combat Racing - Digital Deluxe,,102,23.67,"Very Positive<br>86% of the 2,569 user reviews for games in this bundle are positive."
Touhou Endless Dream,16-Oct-20,19.5,13.65,"Overwhelmingly Positive<br>96% of the 1,101 user reviews for this game are positive."
A Lose Hero in the Castle of the Succubi,7-Oct-21,38,30.4, 
AER Memories of Old,25-Oct-17,31,3.1,"Very Positive<br>88% of the 2,931 user reviews for this game are positive."
Remothered: Broken Porcelain,13-Oct-20,51,25.5,Mixed<br>56% of the 362 user reviews for this game are positive.
Fallout Tactics: Brotherhood of Steel,19-Aug-09,23,6.9,"Very Positive<br>80% of the 1,410 user reviews for this game are positive."
Super Motherload,4-Apr-14,32,8,Mostly Positive<br>77% of the 488 user reviews for this game are positive.
Tiny Echo,31-Aug-17,19,3.8,Very Positive<br>90% of the 244 user reviews for this game are positive.
Daedalic Artist Selection Bundle,,233,65.33,"Very Positive<br>84% of the 8,567 user reviews for games in this bundle are positive."
The Outer Worlds: Murder on Eridanos,17-Mar-21,45,36,Very Positive<br>86% of the 106 user reviews for this game are positive.
Hard Reset Redux,3-Jun-16,38,3.8,"Very Positive<br>82% of the 1,351 user reviews for this game are positive."
Defeated Girl,1-Oct-20,5.5,3.3,Very Positive<br>83% of the 230 user reviews for this game are positive.
Tavern of Gods,20-Aug-21,31,22.01,Mostly Positive<br>79% of the 608 user reviews for this game are positive.
Dream Date,9-May-20,5.5,4.12,"Very Positive<br>85% of the 1,482 user reviews for this game are positive."
Farm Manager 2018,6-Apr-18,39,3.9,"Mostly Positive<br>70% of the 2,156 user reviews for this game are positive."
Two Worlds Collection,21-Nov-12,75,33.75,"Mixed<br>64% of the 5,709 user reviews for games in this bundle are positive."
Ultimate Racing 2D 2,12-Oct-21,23,18.4, 
Monkey King Simulator -- Chapter Huaguo Mountain,11-Oct-21,5.5,4.95,Positive<br>100% of the 16 user reviews for this game are positive.
HALF DEAD COMPLETE BUNDLE,,30,22,"Very Positive<br>80% of the 4,372 user reviews for games in this bundle are positive."
Downwell,15-Oct-15,8,2.64,"Overwhelmingly Positive<br>96% of the 6,015 user reviews for this game are positive."
Doug Flutie's Maximum Football 2020,29-Dec-20,51,25.5,Mixed<br>60% of the 28 user reviews for this game are positive.
The Disappearing of Gensokyo With All Extra Characters,,54,34,"Very Positive<br>87% of the 2,983 user reviews for games in this bundle are positive."
Rebel Cops,17-Sep-19,25.8,8.51,Mostly Positive<br>77% of the 941 user reviews for this game are positive.
Activision® Collection,,"2,706.88","2,390.91","Very Positive<br>81% of the 226,257 user reviews for games in this bundle are positive."
9-nine-:Episode 4,19-Mar-21,39,31.2,Very Positive<br>97% of the 317 user reviews for this game are positive.
CMS 2018 + CMS VR,,77,39.37,"Very Positive<br>90% of the 36,885 user reviews for games in this bundle are positive."
Deponia: The Complete Journey,8-Jul-14,89,8.9,"Very Positive<br>88% of the 2,707 user reviews for this game are positive."
Phantom Brave PC Digital Chroma Edition (Game + Art Book),,50,6.75,Very Positive<br>89% of the 354 user reviews for games in this bundle are positive.
Diggles: The Myth of Fenris,14-Dec-20,23.5,11.75,Very Positive<br>88% of the 274 user reviews for this game are positive.
Shelter Complete Edition,25-Aug-15,65,13,"Very Positive<br>86% of the 5,466 user reviews for games in this bundle are positive."
Realistic VR Bundle,,90,52.08,"Mostly Positive<br>74% of the 1,035 user reviews for games in this bundle are positive."
Night Reverie,8-Oct-21,23.5,21.15,Very Positive<br>100% of the 51 user reviews for this game are positive.
Wind Peaks,28-Jul-20,32,19.2,Very Positive<br>80% of the 153 user reviews for this game are positive.
Happy Room,19-Dec-16,12,6,"Very Positive<br>88% of the 1,990 user reviews for this game are positive."
Warbanners,18-Oct-17,39,13.26,Mostly Positive<br>72% of the 419 user reviews for this game are positive.
Spirit and Katana,14-Oct-21,23.5,14.1, 
Graffiti Hits Bundle,,103,61.18,"Very Positive<br>92% of the 3,947 user reviews for games in this bundle are positive."
"Cook, Serve, Delicious! 3?!",14-Oct-20,39,19.5,"Overwhelmingly Positive<br>96% of the 1,153 user reviews for this game are positive."
8-Bit Armies,22-Apr-16,31,15.5,"Very Positive<br>80% of the 1,680 user reviews for this game are positive."
Tavern of Gods / Zombie Town VR,,34,19.26,Mostly Positive<br>79% of the 618 user reviews for games in this bundle are positive.
SEUM: Speedrunners from Hell,28-Jul-16,31,15.5,"Overwhelmingly Positive<br>95% of the 1,738 user reviews for this game are positive."
Arietta of Spirits,20-Aug-21,32,24,Very Positive<br>93% of the 89 user reviews for this game are positive.
Need for Drive - Open World Multiplayer Racing,17-Feb-21,3.9,1.52,Mixed<br>63% of the 459 user reviews for this game are positive.
The Escapists + The Escapists: The Walking Dead Deluxe,30-Sep-15,47,11.75,"Very Positive<br>89% of the 13,827 user reviews for games in this bundle are positive."
Knights and Merchants,14-Oct-13,17,8.5,"Very Positive<br>85% of the 1,968 user reviews for this game are positive."
Fallout 4 Vault-Tec Workshop,10-Nov-15,21.19,8.47,"Mostly Negative<br>39% of the 1,685 user reviews for this game are positive."
Car Mechanic Simulator 2018 - Pagani DLC,2-Apr-18,15.5,6.2,Mixed<br>64% of the 71 user reviews for this game are positive.
Mercury Fallen,16-Oct-17,39,33.15,Very Positive<br>86% of the 118 user reviews for this game are positive.
Cartoon game Game Collection,,20,15.19,"Mostly Positive<br>75% of the 1,303 user reviews for games in this bundle are positive."
Warbanners Complete Edition,,51.5,14.88,Mostly Positive<br>72% of the 432 user reviews for games in this bundle are positive.
Birthdays the Beginning Digital Limited Edition (Game + Art Book + Soundtrack),,55,12.52,Mixed<br>59% of the 653 user reviews for games in this bundle are positive.
XCOM: Enemy Unknown,11-Oct-12,56,14,"Very Positive<br>94% of the 32,079 user reviews for this game are positive."
Paradox Build It Bundle,,158,95.8,"Very Positive<br>92% of the 187,491 user reviews for games in this bundle are positive.<br><br>This product has experienced one or more periods of off-topic review activity.  Based on your preferences, the reviews within these periods have been excluded from this product's Review Score."
Car Mechanic Simulator 2018 - Dodge Modern DLC,20-Dec-18,12.5,5.62,Mostly Positive<br>78% of the 47 user reviews for this game are positive.
8-Bit Adventures 1: The Forgotten Journey Remastered Edition,22-May-15,23,9.2,Positive<br>93% of the 32 user reviews for this game are positive.
LOST 、Seek Girl FOG Ⅰ  Bundles,,32.25,32.25,"Mostly Positive<br>79% of the 10,886 user reviews for games in this bundle are positive."
Mechanic Simulator Bundle,,105,50.47,"Very Positive<br>89% of the 43,093 user reviews for games in this bundle are positive."
Fling to the Finish Supporter Bundle,,44,28.35,Very Positive<br>80% of the 148 user reviews for games in this bundle are positive.
As Far As The Eye - Supporter Bundle,,89,49.87,"Mostly Positive<br>78% of the 1,294 user reviews for games in this bundle are positive."
Willy Morgan and the Curse of Bone Town,11-Aug-20,39,23.4,Very Positive<br>90% of the 185 user reviews for this game are positive.
烈山海贰,11-Oct-21,39,31.2, 
Treasure Hunter Simulator,6-Dec-18,34,4.42,Mixed<br>66% of the 682 user reviews for this game are positive.
Somni,9-Oct-21,23.5,21.15,Mixed<br>42% of the 21 user reviews for this game are positive.
Poker Club,20-Nov-20,38,32.3,Mixed<br>54% of the 191 user reviews for this game are positive.
Live by the Sword: Tactics,23-Jun-21,44,33,Positive<br>100% of the 10 user reviews for this game are positive.
Games from Hamsters Gaming,,113,76.86,"Mostly Positive<br>77% of the 2,171 user reviews for games in this bundle are positive."
Zombie Driver HD Complete Edition,,31,6.2,"Very Positive<br>84% of the 2,483 user reviews for games in this bundle are positive."
VR Repair Bundle,,78,56.16,Mixed<br>64% of the 249 user reviews for games in this bundle are positive.
Thief Simulator + VR Version,,78,29.83,"Very Positive<br>85% of the 13,681 user reviews for games in this bundle are positive."
Movavi Video Suite 18 + Gecata by Movavi 5 - Game Recorder,,258.9,71.09,Mostly Positive<br>77% of the 961 user reviews for games in this bundle are positive.
Yomawari: Night Alone Digital Pitch Dark Edition (Game + Art Book + Soundtrack),,46,10.06,"Very Positive<br>80% of the 1,219 user reviews for games in this bundle are positive."
Complete Egg Carton Bundle,,63.5,40.72,Very Positive<br>98% of the 152 user reviews for games in this bundle are positive.
Shelter 2,9-Mar-15,31,6.2,"Very Positive<br>86% of the 2,920 user reviews for this game are positive."
Car Mechanic Simulator 2018 - Porsche DLC,8-Oct-18,15.5,6.2,Very Positive<br>91% of the 59 user reviews for this game are positive.
Not It: Spookiest Edition,12-Oct-21,17.5,12.25, 
Time Warpers,16-Jan-20,39,13.26,Very Positive<br>86% of the 411 user reviews for this game are positive.
Car Scrap,,72,38.83,"Very Positive<br>89% of the 36,890 user reviews for games in this bundle are positive."
Space Crew - Game and Soundtrack,,54.5,19.85,"Mostly Positive<br>78% of the 1,074 user reviews for games in this bundle are positive."
Discovery TV Series Simulators (Gold Rush + Diesel Brothers),,78,24.57,"Mostly Positive<br>70% of the 10,943 user reviews for games in this bundle are positive."
Two Worlds II HD,3-Feb-11,38,19,"Mixed<br>59% of the 3,347 user reviews for this game are positive."
Nobodies: Murder Cleaner,30-Sep-19,17.5,9.62,Very Positive<br>92% of the 163 user reviews for this game are positive.
CMS 2018 + UBOAT,,89,29.3,"Very Positive<br>87% of the 47,561 user reviews for games in this bundle are positive."
ARIA CHRONICLE Digital Deluxe Edition,,86.5,54.15,"Mostly Positive<br>79% of the 1,027 user reviews for games in this bundle are positive."
【礼包】嗜血印本体+全部服装DLC,,262.5,101.5,"Very Positive<br>86% of the 17,380 user reviews for games in this bundle are positive."
Novus Inceptio,5-Oct-15,30,9,Mixed<br>57% of the 947 user reviews for this game are positive.
Farmer Life Simulator,21-Aug-21,39,19.5,Mixed<br>48% of the 43 user reviews for this game are positive.
Anomaly 2,15-May-13,31,6.2,Very Positive<br>80% of the 301 user reviews for this game are positive.
Lust for the Beast,,88,48.07,"Very Positive<br>85% of the 3,942 user reviews for games in this bundle are positive."
Fantasy Blacksmith,15-Nov-19,23.5,15.74,Mixed<br>69% of the 735 user reviews for this game are positive.
GameGuru SciFi Bundle,25-Jan-16,59,17.7,"Mostly Positive<br>73% of the 1,116 user reviews for games in this bundle are positive."
Paws,24-Mar-16,31,6.2,Very Positive<br>90% of the 476 user reviews for this game are positive.
Pure Chess Grandmaster Edition,9-Sep-16,32,12.8,Mostly Positive<br>75% of the 164 user reviews for this game are positive.
The Falconeer,10-Nov-20,39,29.25,Very Positive<br>82% of the 134 user reviews for this game are positive.
Bum Dealer,,75,53.46,"Very Positive<br>87% of the 9,930 user reviews for games in this bundle are positive."
GB Rober,13-Oct-21,17.5,15.75, 
Riddle of the Sphinx™ The Awakening (Enhanced Edition),1-Feb-21,39,19.5,Positive<br>92% of the 41 user reviews for this game are positive.
Dry Drowning,2-Aug-19,39,15.6,Very Positive<br>85% of the 241 user reviews for this game are positive.
Blood Code Complete Bundle,,32,12.8,"Mostly Positive<br>73% of the 1,745 user reviews for games in this bundle are positive."
Car Mechanic Simulator 2018 - Mazda DLC,28-Jul-17,12,4.2,Mostly Positive<br>76% of the 98 user reviews for this game are positive.
Misty Girls,9-Oct-21,8.5,5.1, 
Cthulhu Saves Christmas,23-Dec-19,23.5,14.1,Very Positive<br>88% of the 135 user reviews for this game are positive.
Cosmic Star Heroine,11-Apr-17,31,6.2,Very Positive<br>90% of the 522 user reviews for this game are positive.
WRG games bundle,,83,1.83,Very Positive<br>81% of the 726 user reviews for games in this bundle are positive.
Farm Manager 2018 - DLC Bundle,,51.5,6.18,"Mostly Positive<br>70% of the 2,183 user reviews for games in this bundle are positive."
Glitchpunk Supporter Bundle,,45,29.92,Mixed<br>64% of the 74 user reviews for games in this bundle are positive.
Girl Jigsaw 2,14-Jul-21,5.5,4.51,Very Positive<br>83% of the 200 user reviews for this game are positive.
Peachy Adventure,9-Oct-21,5.5,3.3, 
Vivid Knight : Soundtrack Edition,,49.5,46.3,"Very Positive<br>92% of the 1,023 user reviews for games in this bundle are positive."
Scheming Through The Zombie Apocalypse: The Beginning,8-Jun-18,12.5,1.5,Very Positive<br>87% of the 177 user reviews for this game are positive.
The David Szymanski Narrative Horror Pack,,33,16.2,"Mostly Positive<br>78% of the 1,177 user reviews for games in this bundle are positive."
GAME.exe,2-Jul-21,8.5,5.1,Very Positive<br>83% of the 142 user reviews for this game are positive.
A traveler's photo album,30-Dec-20,3,2.1,Mostly Positive<br>72% of the 565 user reviews for this game are positive.
Manufactoria 2022,8-Oct-21,39,35.1, 
Blood Code,28-Dec-15,23.5,11.75,"Mostly Positive<br>72% of the 1,701 user reviews for this game are positive."
Size Matters,12-Mar-21,23.5,7.99,Very Positive<br>95% of the 65 user reviews for this game are positive.
Into the Loop,14-Oct-21,15.5,13.17, 
Freddi Fish and the Case of the Missing Kelp Seeds,17-Apr-14,17,8.5,Very Positive<br>96% of the 334 user reviews for this game are positive.
Disgaea 4 Complete+ Digital Dood Edition (Game + Art Book),,82.5,39.19,Very Positive<br>93% of the 406 user reviews for games in this bundle are positive.
Drive 21,25-Nov-20,32,24,Mixed<br>68% of the 117 user reviews for this game are positive.
ECO HOLE,7-Oct-21,21.5,19.35, 
Seduction,8-Oct-21,19.5,17.55,Mixed<br>56% of the 30 user reviews for this game are positive.
Shop Tycoon: Prepare your wallet,25-Aug-21,15.5,9.61,Mostly Positive<br>71% of the 14 user reviews for this game are positive.
Airline Tycoon Deluxe,14-Nov-14,23,4.6,Mostly Positive<br>78% of the 352 user reviews for this game are positive.
Shelter,28-Aug-13,23,4.6,"Very Positive<br>85% of the 2,442 user reviews for this game are positive."
Hearts of Iron III,7-Aug-09,23,5.75,"Mostly Positive<br>77% of the 4,246 user reviews for this game are positive."
Vendetta - Curse of Raven's Cry,20-Nov-15,51,12.75,Mixed<br>46% of the 189 user reviews for this game are positive.
CHESS-INSPIRED PUZZLE GAMES,,52,38.88,Very Positive<br>92% of the 580 user reviews for games in this bundle are positive.
Armed with Wings: Rearmed,1-Jun-17,23.5,7.05,Very Positive<br>88% of the 299 user reviews for this game are positive.
The Sims™ 4 Bundle - Cats & Dogs + Dine out + Perfect Patio Stuff,,257,118.5,Mostly Positive<br>75% of the 154 user reviews for games in this bundle are positive.
Car Mechanic Simulator 2018 - Ford DLC,4-Jun-18,15.5,6.2,Very Positive<br>96% of the 91 user reviews for this game are positive.
KUUKIYOMI 3: Consider It More and More!! - Father to Son,22-Jun-21,12.5,10,Positive<br>80% of the 25 user reviews for this game are positive.
Paint Girl,25-Sep-20,5.5,3.85,Very Positive<br>86% of the 601 user reviews for this game are positive.
Car Mechanic Simulator 2018 - Dodge DLC,28-Jul-17,12,4.2,Mixed<br>67% of the 101 user reviews for this game are positive.
Car Mechanic Simulator 2018 & Thief Simulator,,77,19.39,"Very Positive<br>89% of the 49,775 user reviews for games in this bundle are positive."
Samurai Gunn 2,20-Jul-21,32,25.6,Very Positive<br>98% of the 129 user reviews for this game are positive.
Easter Egg 2021 Bundle,,237,13.22,"Mixed<br>69% of the 9,966 user reviews for games in this bundle are positive."
Solar System VR,5-Sep-20,10.5,8.92,Mostly Positive<br>77% of the 142 user reviews for this game are positive.
Uniform Girl,3-Apr-20,3,1.8,Mostly Positive<br>70% of the 247 user reviews for this game are positive.
DariusBurst CS Super Saviours Pack,,294,108.79,Very Positive<br>84% of the 576 user reviews for games in this bundle are positive.
The World After,5-May-21,28,21,Mostly Positive<br>72% of the 25 user reviews for this game are positive.
"""ALL WALTER'S STUFF ON STEAM""",,97.5,35.89,"Very Positive<br>89% of the 4,106 user reviews for games in this bundle are positive."
Close to the Sun,5-May-20,39,14.82,Mostly Positive<br>74% of the 340 user reviews for this game are positive.
The Survey,27-Oct-16,12,2.4,Mostly Positive<br>74% of the 553 user reviews for this game are positive.
Winexy,13-Jan-17,12.5,1.5,Mixed<br>66% of the 104 user reviews for this game are positive.
LIFE SIMULATOR BUNDLE,,90,63.45,"Very Positive<br>82% of the 1,078 user reviews for games in this bundle are positive."
Creatures Inc,22-Mar-19,41,24.6,Mixed<br>61% of the 122 user reviews for this game are positive.
Wayout,4-Nov-16,2.7,1.51,Very Positive<br>88% of the 793 user reviews for this game are positive.
9-nine-:Episode 3,31-Aug-20,39,27.3,Very Positive<br>93% of the 253 user reviews for this game are positive.
MazM: The Phantom of the Opera,25-Mar-21,32,22.4,Mostly Positive<br>71% of the 14 user reviews for this game are positive.
My Cute Pagangirl,22-Jul-21,5.5,2.75,Mostly Positive<br>73% of the 42 user reviews for this game are positive.
Urban Tale,7-Oct-21,50,45,Mixed<br>66% of the 36 user reviews for this game are positive.
Neon Drive,12-May-16,23,9.2,"Very Positive<br>88% of the 1,417 user reviews for this game are positive."
Kill The Dragon,7-Oct-21,7.19,6.11,Positive<br>83% of the 12 user reviews for this game are positive.
Zombie Driver HD,17-Oct-12,23,4.6,"Very Positive<br>84% of the 2,356 user reviews for this game are positive."
"Cook, Serve, Delicious! 2!!",13-Sep-17,29,7.25,"Very Positive<br>90% of the 1,778 user reviews for this game are positive."
Schizm: Mysterious Journey,8-Oct-21,21.5,16.12, 
Gorky 17,27-Sep-13,12,6,Very Positive<br>84% of the 740 user reviews for this game are positive.
The Wild Age,4-Feb-20,30,9,Mixed<br>64% of the 190 user reviews for this game are positive.
Siege of Avalon: Anthology,8-Apr-21,23.5,11.75,Very Positive<br>86% of the 104 user reviews for this game are positive.
Fantasy Blacksmith - Escape From The Forge,7-May-21,10.5,5.25,Mostly Negative<br>30% of the 13 user reviews for this game are positive.
Amaro's horror games,,21,14.08,Very Positive<br>86% of the 173 user reviews for games in this bundle are positive.
The Altered Lands,28-May-21,33,6.6,Mixed<br>40% of the 10 user reviews for this game are positive.
Evil Maze 2 | 惡魔迷宮 2,8-Mar-19,23.5,11.75,Mixed<br>69% of the 63 user reviews for this game are positive.
Decay: The Mare,13-Feb-15,13,1.56,"Mostly Positive<br>76% of the 1,282 user reviews for this game are positive."
Remothered Collection,,90,64.5,"Mostly Positive<br>72% of the 1,629 user reviews for games in this bundle are positive."
Girl Jigsaw,29-Apr-21,3,2.1,Mostly Positive<br>79% of the 228 user reviews for this game are positive.
Milena's manor house,22-Aug-21,23.5,19.97,Mostly Negative<br>36% of the 11 user reviews for this game are positive.
The I of the Dragon,6-Mar-15,17,6.8,Mostly Positive<br>71% of the 306 user reviews for this game are positive.
Car Mechanic Simulator 2018 - Lotus DLC,5-Mar-18,12.5,5,Mostly Positive<br>73% of the 23 user reviews for this game are positive.
My Friend Stalin,18-Jun-21,3,1.5,Positive<br>93% of the 45 user reviews for this game are positive.
because King of Beasts.,8-Oct-21,12.5,11.25, 
Hide and Seek,10-Mar-21,8.5,7.65,Mostly Positive<br>75% of the 37 user reviews for this game are positive.
Car Mechanic Simulator 2018 - Jeep DLC,20-Oct-17,15.5,5.42,Very Positive<br>81% of the 76 user reviews for this game are positive.
VLG bundle,,78,25.35,Very Positive<br>87% of the 426 user reviews for games in this bundle are positive.
Guard Duty,2-May-19,23.5,9.4,Very Positive<br>89% of the 155 user reviews for this game are positive.
